"cuenta";"descripcion";"cuentaesp"
584;"Altres actius";
585;"Provisions";
586;"Deutes amb característiques especials";
587;"Deutes amb persones i entitats vinculades";
588;"Creditors comercials i altres comptes a pagar";
589;"Altres passius";
59;"DETERIORAMENT DEL VALOR D'INVERSIONS FINANCERES A CURT TERMINI I D'ACTIUS NO CORRENTS MANTINGUTS PER A LA VENDA";
593;"Deteriorament de valor de participacions a curt termini en parts vinculades";
5933;"Deteriorament de valor de participacions a curt termini en empreses del grup";
5934;"Deteriorament de valor de participacions a curt termini en empreses associades";
5935;"Deteriorament de valor de participacions a curt termini en altres parts vinculades";
594;"Deteriorament de valor de valors representatius de deute a curt termini de parts vinculades";
5943;"Deteriorament de valor de valors representatius de deute a curt termini d'empreses del grup";
5944;"Deteriorament de valor de valors representatius de deute a curt termini d'empreses associades";
5945;"Deteriorament de valor de valors representatius de deute a curt termini d'altres parts vinculades";
595;"Deteriorament de valor de crèdits a curt termini a parts vinculades";
5953;"Deteriorament de valor de crèdits a curt termini a empreses del grup";
5954;"Deteriorament de valor de crèdits a curt termini a empreses associades";
5955;"Deteriorament de valor de crèdits a curt termini a altres parts vinculades";
596;"Deteriorament de valor de participacions a curt termini";
597;"Deteriorament de valor de valors representatius de deute a curt termini";
598;"Deteriorament de valor de crèdits a curt termini";
599;"Deteriorament de valor d'actius no corrents mantinguts per a la venda";
5990;"Deteriorament de valor d'immobilitzat no corrent mantingut per a la venda";
5991;"Deteriorament de valor d'inversions amb persones i entitats vinculades no corrents mantinguts per a la venda";
5992;"Deteriorament de valor d'inversions financeres no corrents mantinguts per a la venda";
5993;"Deteriorament de valor d'existències, deutors comercials i altres comptes a cobrar integrats en un grup alienable mantingut per a la venda";
5994;"Deteriorament de valor d'altres actius mantinguts per a la venda";
6;"COMPRES I DESPESES";
60;"COMPRES";
600;"Compres de mercaderies";"COMPRA"
601;"Compres de matèries primeres";
602;"Compres d'altres aprovisionaments";
605;"Compres efectuats a socis";
606;"Descomptes sobre compres per pagament";
6060;"Descomptes sobre compres per pagament de mercaderies";
6061;"Descomptes sobre compres per pagament de matèries primeres";
6062;"Descomptes sobre compres per pagament d'altres aprovisionaments";
6063;"Descomptes sobre compres per pagament a socis";
607;"Treballs realitzats per altres empreses";
608;"Devolucions de compres i operacions similars";
6080;"Devolucions de compres de mercaderies";"DEVCOM"
6081;"Devolucions de compres de matèries primeres";
6082;"Devolucions de compres d'altres aprovisionaments";
6083;"Devolucions de compres efectuades a socis";
609;"""Rappels"" per compres";
6090;"""Rappels"" per compres de mercaderies";
6091;"""Rappels"" per compres de matèries primeres";
6092;"""Rappels"" per compres d'altres aprovisionaments";
6093;"""Rappels"" per compres efectuades a socis";
61;"VARIACIÓ D'EXISTÈNCIES";
610;"Variació d'existències de mercaderies";
611;"Variació d'existències de matèries primeres";
612;"Variació d'existències d'altres aprovisionaments";
617;"Variació d'existències adquirides a socis";
62;"SERVEIS EXTERIORS";
620;"Despeses en recerca i desenvolupament de l'exercici";
621;"Arrendaments i cànons";
622;"Reparacions i conservació";
623;"Serveis de professionals independents";
624;"Transports";
625;"Primes d'assegurances";
626;"Serveis bancaris i similars";
627;"Publicitat, propaganda i relacions públiques";
628;"Subministraments";
629;"Altres serveis";
63;"TRIBUTS";
630;"Impost sobre beneficis";
6300;"Impost corrent";
6301;"Impost diferit";
631;"Altres tributs";
633;"Ajustaments negatius en la imposició sobre beneficis";
634;"Ajustaments negatius en la imposició indirecta";
6341;"Ajustaments negatius en IVA d'actiu corrent";
6342;"Ajustaments negatius en IVA d'inversions";
636;"Devolució d'impostos";
638;"Ajustaments positius en la imposició sobre beneficis";
639;"Ajustaments positius en la imposició indirecta";
6391;"Ajustaments positius en IVA d'actiu corrent";
6392;"Ajustaments positius en IVA d'inversions";
64;"DESPESES DE PERSONAL";
640;"Sous i salaris";
641;"Indemnitzacions";
642;"Seguretat Social a càrrec de l'empresa";
643;"Retribucions a llarg termini mitjançant sistemes d'aportació definida";
644;"Retribucions a llarg termini mitjançant sistemes de prestació definida";
6440;"Contribucions anuals";
6442;"Altres costos";
645;"Retribucions al personal mitjançant instruments de patrimoni";
6450;"Retribucions al personal liquidades amb instruments de patrimoni";
6457;"Retribucions al personal liquidades en efectiu basat en instruments d'patrimoni";
647;"Retribucion als socis treballadors";
649;"Altres despeses socials";
65;"ALTRES DESPESES DE GESTIÓ I ESPECÍFICS DE LA COOPERATIVA";
650;"Pèrdues de crèdits comercials incobrables";
651;"Resultats d'operacions en comú";
6510;"Benefici transferit (gestor)";
6511;"Pèrdua suportada (partícip o associat no gestor)";
656;"Interessos de les aportacions al capital social i altres fons";
657;"Dotacion al fons d'educacio, formacio i promocio (FEFP)";
659;"Altres pèrdues en gestió corrent";
66;"DESPESES FINANCERES";
660;"Despeses financeres per actualització de provisions";
661;"Interessos d'obligacions i bons";
6610;"Interessos d'obligacions i bons a llarg termini, empreses del grup";
6611;"Interessos d'obligacions i bons a llarg termini, empreses associades";
6612;"Interessos d'obligacions i bons a llarg termini, altres parts vinculades";
6613;"Interessos d'obligacions i bons a llarg termini, altres empreses";
6615;"Interessos d'obligacions i bons a curt termini, empreses del grup";
6616;"Interessos d'obligacions i bons a curt termini, empreses associades";
6617;"Interessos d'obligacions i bons a curt termini, altres parts vinculades";
6618;"Interessos d'obligacions i bons a curt termini, altres empreses";
662;"Interessos de deutes";
6620;"Interessos de deutes, empreses del grup";
6621;"Interessos de deutes, empreses associades";
6622;"Interessos de deutes, altres parts vinculades";
6623;"Interessos de deutes amb entitats de crèdit";
6624;"Interessos de deutes, altres empreses";
663;"Pèrdues per valoració d'instruments financers pel seu valor raonable";
6630;"Pèrdues de cartera de negociació";
6631;"Pèrdues de designats per l'empresa";
6632;"Pèrdues de disponibles per a la venda";
6633;"Pèrdues d'instruments de cobertura";
664;"Dividends d'accions o participacions considerades com a passius financers";
6640;"Dividends de passius, empreses del grup";
6641;"Dividends de passius, empreses associades";
6642;"Dividends de passius, altres parts vinculades";
6643;"Dividends de passius, altres empreses";
6647;"Interessos o retorn obligatori de les aportacions a capital cooperatiu i d'altres fons qualificats com característiques de deute";
665;"Interessos per descompte d'efectes i operacions de facturatge";
6650;"Interessos per descompte d'efectes en entitats de crèdit del grup";
6651;"Interessos per descompte d'efectes en entitats de crèdit associades";
6652;"Interessos per descompte d'efectes en altres entitats de crèdit vinculades";
6653;"Interessos per descompte d'efectes en altres entitats de crèdit";
6654;"Interessos per operacions de ""factoring"" amb entitats de crèdit del grup";
6655;"Interessos per operacions de ""factoring"" amb entitats de crèdit associades";
6656;"Interessos per operacions de ""factoring"" amb altres entitats de crèdit vinculades";
6657;"Interessos per operacions de ""factoring"" amb altres entitats de crèdit";
666;"Pèrdues en participacions i valors representatius de deute";
6660;"Pèrdues en valors representatius de deute a llarg termini, empreses del grup";
6661;"Pèrdues en valors representatius de deute a llarg termini, empreses associades";
6662;"Pèrdues en valors representatius de deute a llarg termini, altres parts vinculades";
6663;"Pèrdues en participacions i valors representatius de deute a llarg termini, altres empreses";
6665;"Pèrdues en participacions i valors representatius de deute a curt termini, empreses del grup";
6666;"Pèrdues en participacions i valors representatius de deute a curt termini, empreses associades";
6667;"Pèrdues en valors representatius de deute a curt termini, altres parts vinculades";
6668;"Pèrdues en valors representatius de deute a curt termini, altres empreses";
667;"Pèrdues de crèdits no comercials";
6670;"Pèrdues de crèdits a llarg termini, empreses del grup";
6671;"Pèrdues de crèdits a llarg termini, empreses associades";
6672;"Pèrdues de crèdits a llarg termini, altres parts vinculades";
6673;"Pèrdues de crèdits a llarg termini, altres empreses";
6675;"Pèrdues de crèdits a curt termini, empreses del grup";
6676;"Pèrdues de crèdits a curt termini, empreses associades";
6677;"Pèrdues de crèdits a curt termini, altres parts vinculades";
6678;"Pèrdues de crèdits a curt termini, altres empreses";
668;"Diferències negatives de canvi";"EURNEG"
669;"Altres despeses financeres";
67;"PÈRDUES PROCEDENTS D'ACTIUS NO CORRENTS I DESPESES EXCEPCIONALS";
670;"Pèrdues procedents de l'immobilitzat intangible";
671;"Pèrdues procedents de l'immobilitzat material";
672;"Pèrdues procedents de les inversions immobiliàries";
673;"Pèrdues procedents de participacions a llarg termini en parts vinculades";
6733;"Pèrdues procedents de participacions a llarg termini, empreses del grup";
6734;"Pèrdues procedents de participacions a llarg termini, empreses associades";
6735;"Pèrdues procedents de participacions a llarg termini, altres parts vinculades";
675;"Pèrdues per operacions amb obligacions pròpies";
678;"Despeses excepcionals";
68;"DOTACIONS PER AMORTITZACIONS";
680;"Amortització de l'immobilitzat intangible";
681;"Amortització de l'immobilitzat material";
682;"Amortització de les inversions immobiliàries";
69;"PÈRDUES PER DETERIORAMENT I ALTRES DOTACIONS";
690;"Pèrdues per deteriorament de l'immobilitzat intangible";
691;"Pèrdues per deteriorament de l'immobilitzat material";
692;"Pèrdues per deteriorament de les inversions immobiliàries";
693;"Pèrdues per deteriorament d'existències";
6930;"Pèrdues per deteriorament de productes acabats i en curs de fabricació";
6931;"Pèrdues per deteriorament de mercaderies";
6932;"Pèrdues per deteriorament de matèries primeres";
6933;"Pèrdues per deteriorament d'altres aprovisionaments";
694;"Pèrdues per deteriorament de crèdits per operacions comercials";
695;"Dotació a la provisió per operacions comercials";
6954;"Dotació a la provisió per contractes onerosos";
6959;"Dotació a la provisió per a altres operacions comercials";
696;"Pèrdues per deteriorament de participacions i valors representatius de deute a llarg termini";
6960;"Pèrdues per deteriorament de participacions en instruments de patrimoni net a llarg termini, empreses del grup";
6961;"Pèrdues per deteriorament de participacions en instruments de patrimoni net a llarg termini, empreses associades";
6962;"Pèrdues per deteriorament de participacions en instruments de patrimoni net a llarg termini, altres parts vinculades";
6963;"Pèrdues per deteriorament de participacions en instruments de patrimoni net a llarg termini, altres empreses";
6965;"Pèrdues per deteriorament en valors representatius de deute a llarg termini, empreses del grup";
6966;"Pèrdues per deteriorament en valors representatius de deute a llarg termini, empreses associades";
6967;"Pèrdues per deteriorament en valors representatius de deute a llarg termini, altres parts vinculades";
6968;"Pèrdues per deteriorament en valors representatius de deute a llarg termini, d'altres empreses";
697;"Pèrdues per deteriorament de crèdits a llarg termini";
6970;"Pèrdues per deteriorament de crèdits a llarg termini, empreses del grup";
6971;"Pèrdues per deteriorament de crèdits a llarg termini, empreses associades";
6972;"Pèrdues per deteriorament de crèdits a llarg termini, altres parts vinculades";
6973;"Pèrdues per deteriorament de crèdits a llarg termini, altres empreses";
698;"Pèrdues per deteriorament de participacions i valors representatius de deute a curt termini";
6980;"Pèrdues per deteriorament de participacions en instruments de patrimoni net a curt termini, empreses del grup";
6981;"Pèrdues per deteriorament de participacions en instruments de patrimoni net a curt termini, empreses associades";
6985;"Pèrdues per deteriorament en valors representatius de deute a curt termini, empreses del grup";
6986;"Pèrdues per deteriorament en valors representatius de deute a curt termini, empreses associades";
6987;"Pèrdues per deteriorament en valors representatius de deute a curt termini, altres parts vinculades";
6988;"Pèrdues per deteriorament en valors representatius de deute a curt termini, d'altres empreses";
699;"Pèrdues per deteriorament de crèdits a curt termini";
6990;"Pèrdues per deteriorament de crèdits a curt termini, empreses del grup";
6991;"Pèrdues per deteriorament de crèdits a curt termini, empreses associades";
6992;"Pèrdues per deteriorament de crèdits a curt termini, altres parts vinculades";
6993;"Pèrdues per deteriorament de crèdits a curt termini, altres empreses";
7;"VENDES I INGRESSOS";
70;"VENDES DE MERCADERIES, DE PRODUCCIÓ PRÒPIA, DE SERVEIS, ETC";
700;"Vendes de mercaderies";"VENTAS"
701;"Vendes de productes acabats";"VENTAS"
702;"Vendes de productes semiacabats";"VENTAS"
703;"Vendes de subproductes i residus";"VENTAS"
704;"Vendes d'envasos i embalatges";"VENTAS"
705;"Prestacions de serveis";"VENTAS"
706;"Descomptes sobre vendes per pagament";
7060;"Descomptes sobre vendes per pagament immediat de mercaderies";
7061;"Descomptes sobre vendes per pagament immediat de productes acabats";
7062;"Descomptes sobre vendes per pagament immediat de productes semiacabats";
7063;"Descomptes sobre vendes per pagament immediat de subproductes i residus";
708;"Devolucions de vendes i operacions similars";
7080;"Devolucions de vendes de mercaderies";"DEVVEN"
7081;"Devolucions de vendes de productes acabats";
7082;"Devolucions de vendes de productes semiacabats";
7083;"Devolucions de vendes de subproductes i residus";
7084;"Devolucions de vendes d'envasos i embalatges";
709;"""Rappels"" sobre vendes";
7090;"«Ràpels» sobre vendes de mercaderies";
7091;"""Rappels"" sobre vendes de productes acabats";
7092;"""Rappels"" sobre vendes de productes semiacabats";
7093;"""Rappels"" sobre vendes de subproductes i residus";
7094;"""Rappels"" sobre vendes d'envasos i embalatges";
71;"VARIACIÓ D'EXISTÈNCIES";
710;"Variació d'existències de productes en curs";
711;"Variació d'existències de productes semiacabats";
712;"Variació d'existències de productes acabats";
713;"Variació d'existències de subproductes, residus i materials recuperats";
73;"TREBALLS REALITZATS PER A L'EMPRESA";
730;"Treballs realitzats per a l'immobilitzat intangible";
731;"Treballs realitzats per a l'immobilitzat material";
732;"Treballs realitzats en inversions immobiliàries";
733;"Treballs realitzats per a l'immobilitzat material en curs";
737;"Treballs realitzats per al fons d'educacio, formacio i promocio";
74;"Subvencions, donacions i llegats";
740;"Subvencions, donacions i llegats a l'explotació";
746;"Subvencions, donacions i llegats de capital transferits al resultat de l'exercici";
747;"Altres subvencions, donacions i llegats transferits al resultat de l'exercici";
75;"ALTRES INGRESSOS DE GESTIÓ";
751;"Resultats d'operacions en comú";
7510;"Pèrdua transferida (gestor)";
7511;"Benefici atribuït (partícip o associat no gestor)";
752;"Ingressos per arrendaments";
753;"Ingressos de propietat industrial cedida en explotació";
754;"Ingressos per comissions";
755;"Ingressos per serveis al personal";
756;"Ingressos per operacions amb socis";
7560;"Ingressos per serveis diversos amb socis";
757;"Ingressos imputables al fons d'educació, formació i promoció";
7570;"Sancions imposades a socis imputables al fons d'educació, formació i promoció";
7571;"Subvencions imputables al fons d'educació, formació i promoció";
7572;"Dotacions imputables al fons d'educació, formació i promoció";
7573;"D'altres ingressos imputables al fons d'educació, formació i promoció";
759;"Ingressos per serveis diversos";
76;"INGRESSOS FINANCERS";
760;"Ingressos de participacions en instruments de patrimoni";
7600;"Ingressos de participacions en instruments de patrimoni, empreses del grup";
7601;"Ingressos de participacions en instruments de patrimoni, empreses associades";
7602;"Ingressos de participacions en instruments de patrimoni, altres parts vinculades";
7603;"Ingressos de participacions en instruments de patrimoni, altres empreses";
761;"Ingressos de valors representatius de deute";
7610;"Ingressos de valors representatius de deute, empreses del grup";
7611;"Ingressos de valors representatius de deute, empreses associades";
7612;"Ingressos de valors representatius de deute, altres parts vinculades";
7613;"Ingressos de valors representatius de deute, altres empreses";
762;"Ingressos de crèdits";
7620;"Ingressos de crèdits a llarg termini";
76200;"Ingressos de crèdits a llarg termini, empreses del grup";
76201;"Ingressos de crèdits a llarg termini, empreses associades";
76202;"Ingressos de crèdits a llarg termini, altres parts vinculades";
76203;"Ingressos de crèdits a llarg termini, altres empreses";
7621;"Ingressos de crèdits a curt termini";
76210;"Ingressos de crèdits a curt termini, empreses del grup";
76211;"Ingressos de crèdits a curt termini, empreses associades";
76212;"Ingressos de crèdits a curt termini, altres parts vinculades";
76213;"Ingressos de crèdits a curt termini, altres empreses";
763;"Beneficis per valoració d'instruments financers pel seu valor raonable";
7630;"Beneficis de cartera de negociació";
7631;"Beneficis de designats per l'empresa";
7632;"Beneficis de disponibles per a la venda";
7633;"Beneficis d'instruments de cobertura";
766;"Beneficis en participacions i valors representatius de deute";
7660;"Beneficis en valors representatius de deute a llarg termini, empreses del grup";
7661;"Beneficis en valors representatius de deute a llarg termini, empreses associades";
7662;"Beneficis en valors representatius de deute a llarg termini, altres parts vinculades";
7663;"Beneficis en participacions i valors representatius de deute a llarg termini, altres empreses";
7665;"Beneficis en participacions i valors representatius de deute a curt termini, empreses del grup";
7666;"Beneficis en participacions i valors representatius de deute a curt termini, empreses associades";
7667;"Beneficis en valors representatius de deute a curt termini, altres parts vinculades";
7668;"Beneficis en valors representatius de deute a curt termini, altres empreses";
767;"Ingressos d'actius afectes i de drets de reemborsament relatius a retribucions a llarg termini";
768;"Diferències positives de canvi";"EURPOS"
769;"Altres ingressos financers";
77;"BENEFICIS PROCEDENTS D'ACTIUS NO CORRENTS I INGRESSOS EXCEPCIONALS";
770;"Beneficis procedents de l'immobilitzat intangible";
771;"Beneficis procedents de l'immobilitzat material";
772;"Beneficis procedents de les inversions immobiliàries";
773;"Beneficis procedents de participacions a llarg termini en parts vinculades";
7733;"Beneficis procedents de participacions a llarg termini, empreses del grup";
7734;"Beneficis procedents de participacions a llarg termini, empreses associades";
7735;"Beneficis procedents de participacions a llarg termini, altres parts vinculades";
774;"Diferència negativa en combinacions de negocis";
775;"Beneficis per operacions amb obligacionespropias";
778;"Ingressos excepcionals";
79;"EXCESSOS I APLICACIONS DE PROVISIONS I DE PÈRDUES PER DETERIORAMENT";
790;"Reversió del deteriorament de l'immobilitzat intangible";
791;"Reversió del deteriorament de l'immobilitzat material";
792;"Reversió del deteriorament de les inversions immobiliàries";
793;"Reversió del deteriorament d'existències";
7930;"Reversió del deteriorament de productes acabats i en curs de fabricació";
7931;"Reversió del deteriorament de mercaderies";
7932;"Reversió del deteriorament de matèries primeres";
7933;"Reversió del deteriorament d'altres aprovisionaments";
794;"Reversió del deteriorament de crèdits per operacions comercials";
795;"Excés de provisions";
7950;"Excés de provisió per retribucions al personal";
7951;"Excés de provisió per a impostos";
7952;"Excés de provisió per a altres responsabilitats";
7954;"Excés de provisió per operacions comercials";
79544;"Excés de provisió per contractes onerosos";
79549;"Excés de provisió per a altres operacions comercials";
7955;"Excés de provisió per a actuacions mediambientals";
7956;"Excés de provisió per a reestructuracions";
7957;"Excés de provisió per transaccions amb pagaments basats en instruments de patrimoni";
796;"Reversió del deteriorament de participacions i valors representatius de deute a llarg termini";
7960;"Reversió del deteriorament de participacions en instruments de patrimoni net a llarg termini, empreses del grup";
7961;"Reversió del deteriorament de participacions en instruments de patrimoni net a llarg termini, empreses associades";
7962;"Reversió del deteriorament de participacions en instruments de patrimoni net a llarg termini, altres parts vinculades";
7963;"Reversió del deteriorament de participacions en instruments de patrimoni net a llarg termini, altres empreses";
7965;"Reversió del deteriorament de valors representatius de deute a llarg termini, empreses del grup";
7966;"Reversió del deteriorament de valors representatius de deute a llarg termini, empreses associades";
7967;"Reversió del deteriorament de valors representatius de deute a llarg termini, altres parts vinculades";
7968;"Reversió del deteriorament de valors representatius de deute a llarg termini, altres empreses";
797;"Reversió del deteriorament de crèdits a llarg termini";
7970;"Reversió del deteriorament de crèdits a llarg termini, empreses del grup";
7971;"Reversió del deteriorament de crèdits a llarg termini, empreses associades";
7972;"Reversió del deteriorament de crèdits a llarg termini, altres parts vinculades";
7973;"Reversió del deteriorament de crèdits a llarg termini, altres empreses";
798;"Reversió del deteriorament de participacions i valors representatius de deute a curt termini";
7980;"Reversió del deteriorament de participacions en instruments de patrimoni net a curt termini, empreses del grup";
7981;"Reversió del deteriorament de participacions en instruments de patrimoni net a curt termini, empreses associades";
7985;"Reversió del deteriorament en valors representatius de deute a curt termini, empreses del grup";
7986;"Reversió del deteriorament en valors representatius de deute a curt termini, empreses associades";
7987;"Reversió del deteriorament en valors representatius de deute a curt termini, altres parts vinculades";
7988;"Reversió del deteriorament en valors representatius de deute a curt termini, altres empreses";
799;"Reversió del deteriorament de crèdits a curt termini";
7990;"Reversió del deteriorament de crèdits a curt termini, empreses del grup";
7991;"Reversió del deteriorament de crèdits a curt termini, empreses associades";
7992;"Reversió del deteriorament de crèdits a curt termini, altres parts vinculades";
7993;"Reversió del deteriorament de crèdits a curt termini, altres empreses";
8;"DESPESES IMPUTATS AL PATRIMONI NET";
80;"DESPESES FINANCERES PER VALORACIÓ D'ACTIUS I PASSIUS";
800;"Pèrdues en actius financers disponibles per a la venda";
802;"Transferència de beneficis en actius financers disponibles per a la venda";
81;"DESPESES EN OPERACIONS DE COBERTURA";
810;"Pèrdues per cobertures de fluxos d'efectiu";
811;"Pèrdues per cobertures d'inversions netes en un negoci a l'estranger";
812;"Transferència de beneficis per cobertures de fluxos d'efectiu";
813;"Transferència de beneficis per cobertures d'inversions netes en un negoci a l'estranger";
82;"DESPESES PER DIFERÈNCIES DE CONVERSIÓ";
820;"Diferències de conversió negatives";
821;"Transferència de diferències de conversió positives";
83;"IMPOST SOBRE BENEFICIS";
830;"Impost sobre beneficis";
8300;"Impost corrent";
8301;"Impost diferit";
833;"Ajustaments negatius en la imposició sobre beneficis";
834;"Ingressos fiscals per diferències permanents";
835;"Ingressos fiscals per deduccions i bonificacions";
836;"Transferència de diferències permanents";
837;"Transferència de deduccions i bonificacions";
838;"Ajustaments positius en la imposició sobre beneficis";
84;"TRANSFERÈNCIES DE SUBVENCIONS, DONACIONS I llegats";
840;"Transferència de subvencions oficials de capital";
841;"Transferència de donacions i llegats de capital";
842;"Transferència d'altres subvencions, donacions i llegats";
85;"DESPESES PER PÈRDUES ACTUARIALS I AJUSTOS EN ELS ACTIUS PER RETRIBUCIONS A LLARG TERMINI DE PRESTACIÓ DEFINIDA";
850;"pèrdues actuarials";
851;"Ajustaments negatius en actius per retribucions a llarg termini de prestació definida";
86;"DESPESES PER ACTIUS NO CORRENTS EN VENDA";
860;"Pèrdues en actius no corrents i grups alienables d'elements mantinguts per a la venda";
862;"Transferència de beneficis en actius no corrents i grups alienables d'elements mantinguts per a la venda";
89;"DESPESES DE PARTICIPACIONS EN EMPRESES DEL GRUP O ASSOCIADES AMB AJUSTOS VALORATIUS POSITIUS PREVIS";
891;"Deteriorament de participacions en el patrimoni, empreses del grup";
892;"Deteriorament de participacions en el patrimoni, empreses associades";
9;"INGRESSOS IMPUTATS AL PATRIMONI NET";
90;"INGRESSOS FINANCERS PER VALORACIÓ D'ACTIUS I PASSIUS";
900;"Beneficis en actius financers disponibles per a la venda";
902;"Transferència de pèrdues d'actius financers disponibles per a la venda";
91;"INGRESSOS EN OPERACIONS DE COBERTURA";
910;"Beneficis per cobertures de fluxos d'efectiu";
911;"Beneficis per cobertures d'una inversió neta en un negoci a l'estranger";
912;"Transferència de pèrdues per cobertures de fluxos d'efectiu";
913;"Transferència de pèrdues per cobertures d'una inversió neta en un negoci a l'estranger";
92;"INGRESSOS PER DIFERÈNCIES DE CONVERSIÓ";
920;"Diferències de conversió positives";
921;"Transferència de diferències de conversió negatives";
94;"INGRESSOS PER SUBVENCIONS, DONACIONS I llegats";
940;"Ingressos de subvencions oficials de capital";
941;"Ingressos de donacions i llegats de capital";
942;"Ingressos d'altres subvencions, donacions i llegats";
95;"INGRESSOS PER GUANYS ACTUARIALS I AJUSTOS EN ELS ACTIUS PER RETRIBUCIONS A LLARG TERMINI DE PRESTACIÓ DEFINIDA";
950;"Guanys actuarials";
951;"Ajustaments positius en actius per retribucions a llarg termini de prestació definida";
96;"INGRESSOS PER ACTIUS NO CORRENTS EN VENDA";
960;"Beneficis en actius no corrents i grups alienables d'elements mantinguts per a la venda";
962;"Transferència de pèrdues en actius no corrents i grups alienables d'elements mantinguts per a la venda";
99;"INGRESSOS DE PARTICIPACIONS EN EMPRESES DEL GRUP O ASSOCIADES AMB AJUSTOS VALORATIUS NEGATIUS PREVIS";
991;"Recuperació d'ajustos valoratius negatius previs, empreses del grup";
992;"Recuperació d'ajustos valoratius negatius previs, empreses associades";
993;"Transferència per deteriorament d'ajustos valoratius negatius previs, empreses del grup";
994;"Transferència per deteriorament d'ajustos valoratius negatius previs, empreses associades";
1000000000;"Capital Social cooperatiu. aportacions obligatòries";
1001000000;"Capital Social cooperatiu. aportacions voluntàries";
1002000000;"socis col·laboradors";
1002100000;"Associats o adherits";
1030000000;"Socis per desemborsaments no exigits, capital social";
1034000000;"Socis per desemborsaments no exigits, capital pendent d'inscripció";
1040000000;"Socis per aportacions no dineràries pendents, capital social";
1044000000;"Socis per aportacions no dineràries pendents, capital pendent d'inscripció";
1070000000;"Fons de Participacions i altres fons subordinats amb venciment en la liquidació";
1071000000;"Altres fons subordinats amb venciment en la liquidació";
1080000000;"Accions o participacions pròpies en situacions especials";
1110000000;"Patrimoni net per emissió d'instruments financers compostos";
1111000000;"Resta d'instruments de patrimoni net";
1121000000;"Fons de reserva obligatori per aplicació d'excedents";
1122000000;"Fons de reserva obligatori per quotes d'ingrés";
1123000000;"fons de reserva obligatori per deduccions";
1131000000;"Fons de reserva voluntari irrepartible";
1132000000;"Fons de reserva voluntari repartible";
1140000000;"Reserves per a accions o participacions de la societat dominant";
1141000000;"Reserves estatutàries";
1142000000;"Reserva per capital amortitzat";
1143000000;"Reserva per fons de comerç";
1144000000;"Reserves per accions pròpies acceptades en garantia";
1145000000;"Fons per incorporacion de beneficis";
1145100000;"Fons per revalorizacion d'actius";
1150000000;"Reserves per pèrdues i guanys actuarials i altres ajustos";
1181000000;"Aportacions de socis per a compensar pèrdues";
1190000000;"Diferències per ajust de l'capital a euros";
1200000000;"Romanent";
1210000000;"Resultats negatius d'exercicis anteriors";
1290000000;"excedent cooperatiu";
1300000000;"Subvencions oficials de capital";
1310000000;"Donacions i llegats de capital";
1320000000;"Altres subvencions, donacions i llegats";
1330000000;"Ajustaments per valoració en actius financers disponibles per a la venda";
1340000000;"Cobertura de fluxos d'efectiu";
1341000000;"Cobertura d'una inversió neta en un negoci a l'estranger";
1350000000;"Diferències de conversió";
1360000000;"Ajustaments per valoració en actius no corrents i grups alienables d'elements, mantinguts per a la venda";
1370000000;"Ingressos fiscals per diferències permanents a distribuir en diversos exercicis";
1371000000;"Ingressos fiscals per deduccions i bonificacions a distribuir en diversos exercicis";
1400000000;"Provisió per retribucions a llarg termini a el personal";
1410000000;"Provisió per a impostos";
1420000000;"Provisió per a altres responsabilitats";
1430000000;"Provisió per desmantellament, retir o rehabilitació de l'immobilitzat";
1450000000;"Provisió per a actuacions mediambientals";
1460000000;"Provisió per a reestructuracions";
1470000000;"Provisió per transaccions amb pagaments basats en instruments de patrimoni";
1480000000;"Fons d'educació, formació i promoció, saldo disposat a llarg termini";
1481000000;"Fons d'educació, formació i promoció, saldo no disposat a llarg termini";
1500000000;"Capital Social Cooperatiu a llarg termini considerat passiu financer aportacions obligatòries";
1501000000;"Capital Social cooperatiu a llarg termini considerat passiu financer: aportacions voluntàries";
1502000000;"socis col·laboradors";
1502100000;"Associats o adherits";
1530000000;"Desemborsaments no exigits per Capital Social cooperatiu considerat com a passiu financer";
1533000000;"Desemborsaments no exigits, empreses de el grup";
1534000000;"Desemborsaments no exigits, empreses associades";
1535000000;"Desemborsaments no exigits, altres parts vinculades";
1536000000;"Altres desemborsaments no exigits";
1543000000;"Aportacions no dineràries pendents, empreses de el grup";
1544000000;"Aportacions no dineràries pendents, empreses associades";
1545000000;"Aportacions no dineràries pendents, altres parts vinculades";
1546000000;"Altres aportacions no dineràries pendents";
1560000000;"Capital reemborsable exigible a llarg termini";
1603000000;"Deutes a llarg termini amb entitats de crèdit, empreses de el grup";
1604000000;"Deutes a llarg termini amb entitats de crèdit, empreses associades";
1605000000;"Deutes a llarg termini amb altres entitats de crèdit vinculades";
1613000000;"Proveïdors d'immobilitzat a llarg termini, empreses de el grup";
1614000000;"Proveïdors d'immobilitzat a llarg termini, empreses associades";
1615000000;"Proveïdors d'immobilitzat a llarg termini, altres parts vinculades";
1623000000;"Creditors per arrendament financer a llarg termini, empreses de grup";
1624000000;"Creditors per arrendament financer a llarg termini, empreses associades";
1625000000;"Creditors per arrendament financer a llarg termini, altres parts vinculades";
1633000000;"D'altres deutes a llarg termini, empreses de el grup";
1634000000;"D'altres deutes a llarg termini, empreses associades";
1635000000;"D'altres deutes a llarg termini, amb altres parts vinculades";
1700000000;"Deutes a llarg termini amb entitats de crèdit";
